timestamp,serverPort,relayDelay
2025-02-14T00:35:52.119Z,3005,2
2025-02-14T00:35:52.128Z,3005,2
2025-02-14T00:35:52.130Z,3005,1
2025-02-14T00:35:52.139Z,3005,2
2025-02-14T00:35:52.167Z,3005,2
2025-02-14T00:35:52.173Z,3005,2
2025-02-14T00:35:52.184Z,3005,2
2025-02-14T00:35:52.188Z,3005,2
2025-02-14T00:35:52.196Z,3005,2
2025-02-14T00:35:52.202Z,3005,2
2025-02-14T00:35:52.213Z,3005,6
2025-02-14T00:35:52.218Z,3005,1
2025-02-14T00:35:52.229Z,3005,2
2025-02-14T00:35:52.230Z,3005,1
2025-02-14T00:35:52.244Z,3005,7
2025-02-14T00:35:52.250Z,3005,1
2025-02-14T00:35:52.263Z,3005,3
2025-02-14T00:35:52.264Z,3005,2
2025-02-14T00:35:52.267Z,3005,2
2025-02-14T00:35:52.272Z,3005,1
2025-02-14T00:35:52.280Z,3005,4
2025-02-14T00:35:52.290Z,3005,1
2025-02-14T00:35:52.297Z,3005,1
2025-02-14T00:35:52.302Z,3005,2
2025-02-14T00:35:52.310Z,3005,2
2025-02-14T00:35:52.316Z,3005,2
2025-02-14T00:35:52.322Z,3005,2
2025-02-14T00:35:52.326Z,3005,2
2025-02-14T00:35:52.334Z,3005,2
2025-02-14T00:35:52.342Z,3005,2
2025-02-14T00:35:52.347Z,3005,2
2025-02-14T00:35:52.357Z,3005,1
2025-02-14T00:35:52.457Z,3002,3
2025-02-14T00:35:52.478Z,3002,2
2025-02-14T00:35:52.498Z,3002,3
2025-02-14T00:35:52.526Z,3002,3
2025-02-14T00:35:52.535Z,3009,2
2025-02-14T00:35:52.545Z,3009,2
2025-02-14T00:35:52.550Z,3002,2
2025-02-14T00:35:52.556Z,3009,2
2025-02-14T00:35:52.566Z,3009,2
2025-02-14T00:35:52.568Z,3009,1
2025-02-14T00:35:52.580Z,3009,2
2025-02-14T00:35:52.582Z,3002,3
2025-02-14T00:35:52.590Z,3009,2
2025-02-14T00:35:52.592Z,3002,3
2025-02-14T00:35:52.600Z,3009,2
2025-02-14T00:35:52.610Z,3002,2
2025-02-14T00:35:52.622Z,3009,6
2025-02-14T00:35:52.625Z,3003,3
2025-02-14T00:35:52.633Z,3009,3
2025-02-14T00:35:52.635Z,3003,2
2025-02-14T00:35:52.643Z,3009,2
2025-02-14T00:35:52.645Z,3002,3
2025-02-14T00:35:52.649Z,3003,2
2025-02-14T00:35:52.654Z,3009,1
2025-02-14T00:35:52.659Z,3003,3
2025-02-14T00:35:52.663Z,3009,2
2025-02-14T00:35:52.669Z,3003,3
2025-02-14T00:35:52.673Z,3002,2
2025-02-14T00:35:52.678Z,3009,2
2025-02-14T00:35:52.691Z,3009,2
2025-02-14T00:35:52.699Z,3003,3
2025-02-14T00:35:52.702Z,3002,3
2025-02-14T00:35:52.709Z,3003,2
2025-02-14T00:35:52.710Z,3009,1
2025-02-14T00:35:52.717Z,3003,2
2025-02-14T00:35:52.727Z,3009,2
2025-02-14T00:35:52.730Z,3009,2
2025-02-14T00:35:52.731Z,3002,3
2025-02-14T00:35:52.742Z,3003,3
2025-02-14T00:35:52.749Z,3009,2
2025-02-14T00:35:52.750Z,3002,3
2025-02-14T00:35:52.751Z,3009,3
2025-02-14T00:35:52.756Z,3003,3
2025-02-14T00:35:52.758Z,3003,3
2025-02-14T00:35:52.761Z,3009,1
2025-02-14T00:35:52.763Z,3002,3
2025-02-14T00:35:52.764Z,3003,3
2025-02-14T00:35:52.765Z,3009,1
2025-02-14T00:35:52.767Z,3002,3
2025-02-14T00:35:52.769Z,3009,1
2025-02-14T00:35:52.774Z,3002,3
2025-02-14T00:35:52.783Z,3009,2
2025-02-14T00:35:52.790Z,3002,2
2025-02-14T00:35:52.806Z,3009,2
2025-02-14T00:35:52.810Z,3002,3
2025-02-14T00:35:52.830Z,3009,2
2025-02-14T00:35:52.832Z,3002,3
2025-02-14T00:35:52.842Z,3002,3
2025-02-14T00:35:52.857Z,3009,2
2025-02-14T00:35:52.864Z,3002,2
2025-02-14T00:35:52.866Z,3009,1
2025-02-14T00:35:52.867Z,3002,3
2025-02-14T00:35:52.869Z,3009,2
2025-02-14T00:35:52.876Z,3009,2
2025-02-14T00:35:52.884Z,3001,3
2025-02-14T00:35:52.891Z,3001,2
2025-02-14T00:35:52.899Z,3009,2
2025-02-14T00:35:52.901Z,3001,2
2025-02-14T00:35:52.914Z,3001,4
2025-02-14T00:35:52.969Z,3001,3
2025-02-14T00:35:53.250Z,3001,2
2025-02-14T00:35:53.282Z,3001,3
